#DISTANCE:      BLOCK_NUMBER:        AVE_POFV:
        4.16          10  0.00491453
        4.29          10  0.00167379
        4.42          10           0
        4.55          10           0
        4.68          10           0
        4.81          10           0
        4.94          10           0
        5.07          10           0
         5.2          10           0
        5.33          10           0
        5.46          10           0
        5.59          10           0
        5.72          10           0
        5.85          10           0
        5.98          10           0
        6.11          10           0
        6.24          10           0
        6.37          10           0
         6.5          10           0
        6.63          10           0
        6.76          10           0
        6.89          10           0
        7.02          10           0
        7.15          10           0
        7.28          10           0
        7.41          10           0
        7.54          10           0
        7.67          10           0
           0          11  0.00416667
        0.13          11    0.027208
        0.26          11   0.0764245
        0.39          11    0.125107
        0.52          11    0.213568
        0.65          11    0.280306
        0.78          11    0.379986
        0.91          11    0.417521
        1.04          11    0.490705
        1.17          11     0.50641
         1.3          11    0.527813
        1.43          11    0.560363
        1.56          11    0.576068
        1.69          11    0.557514
        1.82          11    0.479024
        1.95          11    0.491987
        2.08          11     0.40203
        2.21          11    0.328454
        2.34          11    0.280591
        2.47          11    0.250142
         2.6          11    0.182229
        2.73          11     0.14943
        2.86          11    0.106944
        2.99          11   0.0825855
        3.12          11    0.060933
        3.25          11   0.0455484
        3.38          11   0.0320157
        3.51          11   0.0217949
        3.64          11   0.0137464
        3.77          11  0.00854701
         3.9          11  0.00334758
        4.03          11  0.00409544
        4.16          11   0.0019943
        4.29          11  0.00213675
        4.42          11 0.000641026
        4.55          11 0.000925926
        4.68          11           0
        4.81          11           0
        4.94          11           0
        5.07          11           0
         5.2          11           0
        5.33          11           0
        5.46          11           0
        5.59          11           0
        5.72          11           0
        5.85          11           0
        5.98          11           0
        6.11          11           0
        6.24          11           0
        6.37          11           0
         6.5          11           0
        6.63          11           0
        6.76          11           0
        6.89          11           0
        7.02          11           0
        7.15          11           0
        7.28          11           0
        7.41          11           0
        7.54          11           0
        7.67          11           0
           0          12  0.00206553
        0.13          12   0.0235399
        0.26          12   0.0647436
        0.39          12    0.123754
        0.52          12    0.215349
        0.65          12    0.272899
        0.78          12    0.353811
        0.91          12    0.417058
        1.04          12    0.506731
        1.17          12    0.552386
         1.3          12    0.559615
        1.43          12    0.543839
        1.56          12    0.538283
        1.69          12    0.504416
        1.82          12    0.491524
        1.95          12    0.454452
        2.08          12    0.449537
        2.21          12    0.357301
        2.34          12      0.3026
        2.47          12    0.237785
         2.6          12     0.20235
        2.73          12    0.149858
        2.86          12    0.094765
        2.99          12   0.0752137
        3.12          12   0.0540598
        3.25          12   0.0528134
        3.38          12   0.0271724
        3.51          12   0.0192664
        3.64          12   0.0189103
        3.77          12   0.0118234
         3.9          12   0.0082265
        4.03          12  0.00452279
        4.16          12  0.00117521
        4.29          12 0.000462963
        4.42          12           0
        4.55          12           0
        4.68          12           0
        4.81          12           0
        4.94          12           0
        5.07          12           0
         5.2          12           0
        5.33          12           0
        5.46          12           0
        5.59          12           0
        5.72          12           0
        5.85          12           0
        5.98          12           0
        6.11          12           0
        6.24          12           0
        6.37          12           0
         6.5          12           0
        6.63          12           0
        6.76          12           0
        6.89          12           0
        7.02          12           0
        7.15          12           0
        7.28          12           0
        7.41          12           0
        7.54          12           0
        7.67          12           0
           0          13    0.010755
        0.13          13   0.0396368
        0.26          13   0.0693376
        0.39          13    0.130449
        0.52          13    0.212108
        0.65          13    0.275463
        0.78          13    0.342699
        0.91          13    0.422614
        1.04          13    0.469872
        1.17          13    0.513782
         1.3          13    0.558191
        1.43          13    0.585114
        1.56          13    0.573433
        1.69          13    0.521937
        1.82          13    0.470477
        1.95          13     0.45552
        2.08          13    0.401567
        2.21          13     0.34911
        2.34          13    0.295869
        2.47          13    0.235862
         2.6          13     0.19391
        2.73          13    0.150712
        2.86          13    0.105876
        2.99          13   0.0728989
        3.12          13   0.0626068
        3.25          13   0.0537393
        3.38          13   0.0404558
        3.51          13   0.0236823
        3.64          13   0.0137108
        3.77          13   0.0167379
         3.9          13   0.0112892
        4.03          13   0.0045584
        4.16          13  0.00299145
        4.29          13  0.00270655
        4.42          13  0.00263533
        4.55          13           0
        4.68          13           0
        4.81          13           0
        4.94          13           0
        5.07          13           0
         5.2          13           0
        5.33          13           0
        5.46          13           0
        5.59          13           0
        5.72          13           0
        5.85          13           0
        5.98          13           0
        6.11          13           0
        6.24          13           0
        6.37          13           0
         6.5          13           0
        6.63          13           0
        6.76          13           0
        6.89          13           0
        7.02          13           0
        7.15          13           0
        7.28          13           0
        7.41          13           0
        7.54          13           0
        7.67          13           0
           0          14  0.00402422
        0.13          14   0.0285613
        0.26          14   0.0656339
        0.39          14    0.126318
        0.52          14    0.193946
        0.65          14    0.269658
        0.78          14    0.371225
        0.91          14    0.437358
        1.04          14    0.513853
        1.17          14    0.538568
         1.3          14    0.541026
        1.43          14     0.60787
        1.56          14    0.577742
        1.69          14    0.566168
        1.82          14    0.491916
        1.95          14     0.42037
        2.08          14    0.382942
        2.21          14    0.312358
        2.34          14    0.300819
        2.47          14    0.251282
         2.6          14    0.192272
        2.73          14    0.143625
        2.86          14    0.102137
        2.99          14   0.0834046
        3.12          14   0.0615385
        3.25          14   0.0358618
        3.38          14   0.0237536
        3.51          14   0.0127849
        3.64          14  0.00968661
        3.77          14  0.00819088
         3.9          14  0.00747863
        4.03          14  0.00249288
        4.16          14  0.00231481
        4.29          14  0.00252849
        4.42          14   0.0019943
        4.55          14 0.000605413
        4.68          14           0
        4.81          14           0
        4.94          14           0
        5.07          14           0
         5.2          14           0
        5.33          14           0
        5.46          14           0
        5.59          14           0
        5.72          14           0
        5.85          14           0
        5.98          14           0
        6.11          14           0
        6.24          14           0
        6.37          14           0
         6.5          14           0
        6.63          14           0
        6.76          14           0
        6.89          14           0
        7.02          14           0
        7.15          14           0
        7.28          14           0
        7.41          14           0
        7.54          14           0
        7.67          14           0
           0          15  0.00327635
        0.13          15   0.0411681
        0.26          15   0.0888177
        0.39          15    0.149181
        0.52          15    0.205805
        0.65          15     0.30698
        0.78          15    0.385577
        0.91          15    0.431019
        1.04          15    0.475214
        1.17          15    0.524893
         1.3          15    0.516061
        1.43          15    0.508226
        1.56          15    0.519729
        1.69          15    0.562607
        1.82          15    0.506517
        1.95          15    0.444266
        2.08          15     0.39391
        2.21          15    0.335541
        2.34          15    0.268803
        2.47          15    0.218198
         2.6          15    0.182372
        2.73          15    0.139067
        2.86          15    0.109473
        2.99          15   0.0922365
        3.12          15   0.0817308
        3.25          15   0.0643875
        3.38          15   0.0521011
        3.51          15   0.0336538
        3.64          15   0.0193376
        3.77          15   0.0130698
         3.9          15  0.00580484
        4.03          15  0.00701567
        4.16          15  0.00160256
        4.29          15  0.00124644
        4.42          15 0.000712251
        4.55          15 0.000783476
        4.68          15  0.00121083
        4.81          15 0.000712251
        4.94          15           0
        5.07          15           0
         5.2          15           0
        5.33          15           0
        5.46          15           0
        5.59          15           0
        5.72          15           0
        5.85          15           0
        5.98          15           0
        6.11          15           0
        6.24          15           0
        6.37          15           0
         6.5          15           0
        6.63          15           0
        6.76          15           0
        6.89          15           0
        7.02          15           0
        7.15          15           0
        7.28          15           0
        7.41          15           0
        7.54          15           0
        7.67          15           0
           0          16  0.00534188
        0.13          16   0.0316595
        0.26          16   0.0847222
        0.39          16     0.14651
        0.52          16    0.210541
        0.65          16    0.303775
        0.78          16    0.381838
        0.91          16    0.463711
        1.04          16    0.486752
        1.17          16    0.508155
         1.3          16    0.548967
        1.43          16    0.571047
        1.56          16    0.555306
        1.69          16    0.546902
        1.82          16    0.464209
        1.95          16     0.41015
        2.08          16    0.352564
        2.21          16     0.32183
        2.34          16    0.287749
        2.47          16    0.238818
         2.6          16    0.184722
        2.73          16    0.138746
        2.86          16    0.111325
        2.99          16   0.0880698
        3.12          16   0.0715456
        3.25          16   0.0424501
        3.38          16   0.0367165
        3.51          16   0.0277066
        3.64          16   0.0263889
        3.77          16   0.0167379
         3.9          16  0.00726496
        4.03          16  0.00626781
        4.16          16  0.00495014
        4.29          16  0.00416667
        4.42          16   0.0014245
        4.55          16 0.000925926
        4.68          16  0.00188746
        4.81          16 0.000462963
        4.94          16           0
        5.07          16           0
         5.2          16           0
        5.33          16           0
        5.46          16           0
        5.59          16           0
        5.72          16           0
        5.85          16           0
        5.98          16           0
        6.11          16           0
        6.24          16           0
        6.37          16           0
         6.5          16           0
        6.63          16           0
        6.76          16           0
        6.89          16           0
        7.02          16           0
        7.15          16           0
        7.28          16           0
        7.41          16           0
        7.54          16           0
        7.67          16           0
           0          17  0.00441595
        0.13          17   0.0350071
        0.26          17       0.075
        0.39          17    0.139672
        0.52          17    0.207692
        0.65          17    0.269979
        0.78          17    0.348113
        0.91          17    0.445085
        1.04          17     0.49099
        1.17          17    0.573041
         1.3          17    0.565456
        1.43          17    0.579202
        1.56          17    0.539245
        1.69          17    0.512571
        1.82          17    0.480912
        1.95          17    0.431303
        2.08          17    0.384722
        2.21          17    0.322472
        2.34          17    0.275677
        2.47          17    0.231588
         2.6          17    0.171118
        2.73          17    0.159615
        2.86          17    0.129665
        2.99          17   0.0876068
        3.12          17   0.0639957
        3.25          17    0.043839
        3.38          17   0.0304131
        3.51          17   0.0285613
        3.64          17   0.0258903
        3.77          17   0.0115741
         3.9          17   0.0110399
        4.03          17  0.00844017
        4.16          17  0.00316952
        4.29          17  0.00373932
        4.42          17  0.00106838
        4.55          17  0.00042735
        4.68          17           0
        4.81          17           0
        4.94          17           0
        5.07          17           0
         5.2          17           0
        5.33          17           0
        5.46          17           0
        5.59          17           0
        5.72          17           0
        5.85          17           0
        5.98          17           0
        6.11          17           0
        6.24          17           0
        6.37          17           0
         6.5          17           0
        6.63          17           0
        6.76          17           0
        6.89          17           0
        7.02          17           0
        7.15          17           0
        7.28          17           0
        7.41          17           0
        7.54          17           0
        7.67          17           0
           0          18  0.00316952
        0.13          18   0.0192664
        0.26          18   0.0518519
        0.39          18    0.128989
        0.52          18    0.206197
        0.65          18     0.26307
        0.78          18    0.356481
        0.91          18    0.438996
        1.04          18    0.481873
