#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
    0.872088           5           0
    0.897737           5  0.00238183
    0.923387           5   0.0225311
    0.949037           5    0.167465
    0.974686           5    0.485917
     1.00034           5     1.07426
     1.02599           5     1.69573
     1.05164           5      2.0697
     1.07728           5     2.30628
     1.10293           5      2.3507
     1.12858           5     2.29387
     1.15423           5      2.0892
     1.17988           5     1.93951
     1.20553           5     1.70036
     1.23118           5     1.49489
     1.25683           5     1.35714
     1.28248           5     1.20043
     1.30813           5     1.06526
     1.33378           5    0.964577
     1.35943           5    0.932193
     1.38508           5    0.864029
     1.41073           5    0.812957
     1.43638           5    0.749489
     1.46203           5    0.707866
     1.48768           5    0.661545
     1.51333           5    0.629228
     1.53898           5    0.613267
     1.56463           5    0.607902
     1.59028           5    0.599852
     1.61593           5    0.605405
     1.64158           5    0.611193
     1.66723           5    0.644794
     1.69288           5    0.645566
     1.71853           5    0.652084
     1.74418           5    0.704882
     1.76983           5    0.724473
     1.79547           5    0.728532
     1.82112           5    0.770656
     1.84677           5    0.798512
     1.87242           5    0.822123
     1.89807           5    0.863923
     1.92372           5    0.934324
     1.94937           5    0.998255
     1.97502           5     1.01904
     2.00067           5     1.06232
     2.02632           5     1.10912
     2.05197           5     1.12719
     2.07762           5     1.13258
     2.10327           5      1.1441
     2.12892           5     1.16767
     2.15457           5       1.142
     2.18022           5     1.13628
     2.20587           5     1.12928
     2.23152           5     1.08325
     2.25717           5      1.0806
     2.28282           5      1.0588
     2.30847           5     1.01145
     2.33412           5    0.970241
     2.35977           5     0.94241
     2.38542           5    0.891007
     2.41107           5    0.862605
     2.43672           5    0.846855
     2.46237           5    0.843526
     2.48802           5    0.836864
     2.51366           5    0.830118
     2.53931           5    0.830716
           0           6           0
   0.0256496           6           0
   0.0512993           6           0
   0.0769489           6           0
    0.102599           6           0
    0.128248           6           0
    0.153898           6           0
    0.179547           6           0
    0.205197           6           0
    0.230847           6           0
    0.256496           6           0
    0.282146           6           0
