#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         293     1.26058       1.207    0.022597
         294     1.25873     1.20718   0.0225208
         295     1.25694     1.20735   0.0224451
         296     1.25521     1.20751   0.0223698
         297     1.25354     1.20767    0.022295
         298     1.25193     1.20781   0.0222207
         299      1.2504     1.20796   0.0221469
         300     1.24894     1.20809   0.0220735
         301     1.24756     1.20822   0.0220005
         302     1.24627     1.20835    0.021928
         303     1.24509     1.20847    0.021856
         304     1.24401     1.20859   0.0217844
         305     1.24304      1.2087   0.0217133
         306     1.24221     1.20881   0.0216426
         307     1.24151     1.20892   0.0215724
         308     1.24095     1.20902   0.0215026
         309     1.24055     1.20912   0.0214332
         310     1.24031     1.20922   0.0213643
         311     1.24023     1.20932   0.0212959
         312     1.24034     1.20942   0.0212278
         313     1.24063     1.20952   0.0211603
         314      1.2411     1.20962   0.0210931
         315     1.24176     1.20973   0.0210264
         316     1.24259     1.20983   0.0209601
         317      1.2436     1.20994   0.0208943
         318     1.24477     1.21005   0.0208288
         319     1.24611     1.21016   0.0207638
         320     1.24758     1.21028   0.0206993
         321     1.24919      1.2104   0.0206352
         322     1.25092     1.21052   0.0205715
         323     1.25274     1.21065   0.0205082
         324     1.25464     1.21079   0.0204453
         325     1.25658     1.21093   0.0203829
         326     1.25854     1.21108   0.0203209
         327     1.26048     1.21123   0.0202593
         328     1.26239     1.21138   0.0201982
         329     1.26421     1.21154   0.0201374
         330     1.26592     1.21171   0.0200771
         331      1.2675     1.21188   0.0200171
         332      1.2689     1.21205   0.0199576
         333     1.27009     1.21222   0.0198984
         334     1.27102      1.2124   0.0198396
         335     1.27166     1.21258   0.0197812
         336     1.27198     1.21275   0.0197231
         337     1.27194     1.21293   0.0196653
         338      1.2715      1.2131   0.0196079
         339     1.27064     1.21327   0.0195508
         340     1.26931     1.21344    0.019494
         341     1.26748      1.2136   0.0194375
         342     1.26513     1.21375   0.0193812
         343     1.26221     1.21389   0.0193252
         344     1.25871     1.21402   0.0192695
         345     1.25459     1.21414    0.019214
         346     1.24982     1.21424   0.0191587
         347     1.24439     1.21433   0.0191037
         348     1.23827     1.21439    0.019049
         349     1.23145     1.21444   0.0189944
         350     1.22391     1.21447   0.0189402
         351     1.21564     1.21447   0.0188862
         352     1.20663     1.21445   0.0188326
         353     1.19688      1.2144   0.0187793
         354     1.18639     1.21432   0.0187264
         355     1.17519     1.21421    0.018674
         356     1.16328     1.21407   0.0186221
         357     1.15069     1.21389   0.0185708
         358     1.13746     1.21368   0.0185201
         359     1.12364     1.21343   0.0184702
         360     1.10927     1.21314   0.0184212
         361     1.09442     1.21281   0.0183731
         362     1.07919     1.21244   0.0183261
         363     1.06365     1.21203   0.0182802
         364     1.04792     1.21158   0.0182355
         365     1.03211     1.21109   0.0181922
         366     1.01637     1.21056   0.0181502
         367     1.00084     1.20998   0.0181098
         368    0.985681     1.20937   0.0180708
         369     0.97106     1.20873   0.0180334
         370    0.957155     1.20805   0.0179975
         371    0.944147     1.20734    0.017963
         372    0.932219      1.2066   0.0179299
         373    0.921548     1.20583   0.0178981
         374    0.912308     1.20505   0.0178675
         375    0.904659     1.20425   0.0178378
         376     0.89875     1.20343   0.0178088
         377    0.894699     1.20262   0.0177804
         378    0.892599      1.2018   0.0177523
         379    0.892517     1.20098   0.0177242
         380     0.89449     1.20017   0.0176959
         381    0.898519     1.19938   0.0176671
         382    0.904574     1.19861   0.0176377
         383     0.91259     1.19786   0.0176075
         384    0.922469     1.19715   0.0175762
         385    0.934081     1.19646   0.0175439
         386    0.947272     1.19582   0.0175103
         387    0.961862     1.19521   0.0174755
         388    0.977658     1.19465   0.0174394
         389     0.99445     1.19414   0.0174022
         390     1.01202     1.19367   0.0173638
         391     1.03016     1.19325   0.0173245
         392     1.04863     1.19288   0.0172842
         393     1.06724     1.19256   0.0172432
         394     1.08577     1.19229   0.0172015
         395     1.10404     1.19207   0.0171594
         396     1.12187     1.19189    0.017117
         397      1.1391     1.19176   0.0170744
