#DISTANCE:      BLOCK_NUMBER:        ACTUAL_POFV:         AVE_POFV:        ERROR:
         0.4           5   0.0322569   0.0647292   0.0127053
    0.533333           5   0.0586458   0.0888125   0.0138087
    0.666667           5    0.135347    0.159833   0.0189745
         0.8           5    0.233611    0.233472   0.0177709
    0.933333           5    0.372257    0.341236   0.0216682
     1.06667           5    0.507222    0.371222   0.0394794
         1.2           5    0.426285     0.38409   0.0212015
     1.33333           5    0.459514    0.417139   0.0311901
     1.46667           5    0.523472    0.449167   0.0287816
         1.6           5    0.553368    0.479868   0.0389895
     1.73333           5    0.588958    0.518993   0.0363411
     1.86667           5    0.703229    0.526639   0.0525715
           2           5    0.411597     0.47291   0.0280503
     2.13333           5    0.369549    0.452583   0.0326199
     2.26667           5    0.463681    0.443799  0.00789696
         2.4           5     0.38809    0.359646   0.0542471
     2.53333           5    0.255729    0.380764   0.0542902
     2.66667           5     0.22875    0.253833   0.0389836
         2.8           5    0.150833    0.214028   0.0286422
     2.93333           5   0.0959028    0.170437   0.0398191
     3.06667           5    0.101042    0.128743   0.0217499
         3.2           5    0.179688    0.140229   0.0160943
     3.33333           5   0.0501736   0.0619792   0.0108156
     3.46667           5   0.0451389   0.0712986   0.0194767
         3.6           5   0.0182986   0.0549236   0.0149671
     3.73333           5  0.00899306   0.0261667  0.00775528
     3.86667           5 0.000138889   0.0222361  0.00768181
           4           5 0.000208333   0.0104097  0.00413598
     4.13333           5 0.000138889   0.0172639  0.00699757
     4.26667           5 0.000208333   0.0132986  0.00641279
         4.4           5 0.000243056   0.0192847  0.00887519
     4.53333           5   0.0349653   0.0217361   0.0056367
     4.66667           5   0.0116667   0.0115764  0.00199202
         4.8           5   0.0186111   0.0120833  0.00156072
     4.93333           5  0.00260417   0.0064375  0.00387244
     5.06667           5           0  0.00368056  0.00299838
         5.2           5           0  0.00168056  0.00122303
     5.33333           5           0 0.000736111 0.000658398
     5.46667           5           0 4.16667e-05 3.72678e-05
         5.6           5           0           0           0
     5.73333           5           0           0           0
     5.86667           5           0           0           0
           6           5           0           0           0
     6.13333           5           0           0           0
     6.26667           5           0           0           0
         6.4           5           0           0           0
     6.53333           5           0           0           0
     6.66667           5           0           0           0
         6.8           5           0           0           0
     6.93333           5           0           0           0
     7.06667           5           0           0           0
         7.2           5           0           0           0
     7.33333           5           0           0           0
     7.46667           5           0           0           0
         7.6           5           0           0           0
     7.73333           5           0           0           0
     7.86667           5           0           0           0
           0           6 0.000763889   0.0048206   0.0010939
    0.133333           6  0.00923611   0.0315856   0.0134775
    0.266667           6   0.0683333   0.0541435   0.0112086
         0.4           6    0.121701   0.0742245   0.0136834
    0.533333           6    0.169965    0.102338    0.016878
    0.666667           6    0.269063    0.178038   0.0229391
         0.8           6    0.298715    0.244346   0.0178281
    0.933333           6    0.497361    0.367257   0.0298377
     1.06667           6    0.333715    0.364971   0.0333907
         1.2           6    0.391424    0.385312   0.0177031
     1.33333           6    0.511389    0.432847    0.029685
     1.46667           6    0.422986    0.444803   0.0243132
         1.6           6    0.451736    0.475179    0.032772
     1.73333           6    0.501771    0.516123   0.0303974
     1.86667           6    0.531424    0.527436   0.0438156
           2           6    0.419236    0.463964   0.0247606
     2.13333           6    0.319132    0.430341   0.0339291
     2.26667           6    0.483368    0.450394  0.00891914
         2.4           6    0.339931     0.35636   0.0453053
     2.53333           6    0.291701     0.36592   0.0472275
     2.66667           6    0.280764    0.258322   0.0327437
         2.8           6    0.166528    0.206111   0.0249386
     2.93333           6    0.182361    0.172425   0.0332322
     3.06667           6   0.0589583    0.117112   0.0210058
         3.2           6   0.0722917    0.128906   0.0169328
     3.33333           6   0.0522569   0.0603588  0.00913355
     3.46667           6   0.0605903   0.0695139   0.0163122
         3.6           6   0.0732292   0.0579745   0.0127798
     3.73333           6   0.0309722   0.0269676  0.00650396
     3.86667           6  0.00555556    0.019456  0.00688623
           4           6  0.00444444  0.00941551  0.00356414
     4.13333           6 0.000520833   0.0144734  0.00636343
     4.26667           6  0.00236111   0.0114757   0.0055971
         4.4           6   0.0137153   0.0183565  0.00744438
     4.53333           6   0.0505208   0.0265336  0.00642213
     4.66667           6  0.00701389    0.010816  0.00179931
         4.8           6  0.00305556   0.0105787   0.0018916
     4.93333           6  0.00190972  0.00568287  0.00329974
     5.06667           6           0  0.00306713  0.00256063
         5.2           6           0  0.00140046  0.00105078
     5.33333           6           0 0.000613426 0.000559979
     5.46667           6           0 3.47222e-05 3.16969e-05
         5.6           6           0           0           0
     5.73333           6           0           0           0
     5.86667           6           0           0           0
           6           6           0           0           0
     6.13333           6           0           0           0
     6.26667           6           0           0           0
         6.4           6           0           0           0
     6.53333           6           0           0           0
     6.66667           6           0           0           0
         6.8           6           0           0           0
     6.93333           6           0           0           0
     7.06667           6           0           0           0
         7.2           6           0           0           0
     7.33333           6           0           0           0
     7.46667           6           0           0           0
         7.6           6           0           0           0
     7.73333           6           0           0           0
     7.86667           6           0           0           0
           0           7  0.00732639  0.00517857 0.000994477
    0.133333           7   0.0188889   0.0297718   0.0116736
    0.266667           7   0.0376736   0.0517907  0.00985125
         0.4           7   0.0927778    0.076875   0.0119826
    0.533333           7    0.135208    0.107034   0.0151059
    0.666667           7    0.197257    0.180784   0.0198257
         0.8           7    0.302986    0.252723   0.0171368
    0.933333           7        0.54    0.391935   0.0342939
     1.06667           7    0.269583    0.351344   0.0312778
         1.2           7    0.455069    0.395278   0.0177588
     1.33333           7    0.661354    0.465491    0.039507
     1.46667           7    0.428507    0.442475    0.020951
         1.6           7    0.455556    0.472376   0.0282099
     1.73333           7    0.517535    0.516324   0.0260556
     1.86667           7    0.403889    0.509787   0.0409571
           2           7    0.275486    0.437039    0.032739
     2.13333           7    0.355729    0.419683   0.0307107
     2.26667           7    0.519479    0.460263   0.0119137
         2.4           7    0.352188    0.355764   0.0388371
     2.53333           7    0.368021     0.36622   0.0404817
     2.66667           7    0.230903    0.254405   0.0282993
         2.8           7    0.193229    0.204271   0.0214437
     2.93333           7    0.224201    0.179821   0.0292963
     3.06667           7   0.0817361    0.112059   0.0186029
         3.2           7   0.0655208    0.119851    0.016761
     3.33333           7   0.0508681    0.059003  0.00792875
     3.46667           7   0.0609028   0.0682837   0.0140282
         3.6           7    0.103993   0.0645486   0.0125314
     3.73333           7   0.0586806    0.031498  0.00697648
     3.86667           7   0.0138194   0.0186508  0.00594937
           4           7    0.006875  0.00905258   0.0030734
     4.13333           7  0.00111111   0.0125645  0.00573354
     4.26667           7 0.000104167  0.00985119  0.00502773
         4.4           7 0.000138889    0.015754  0.00682065
     4.53333           7  0.00361111   0.0232589  0.00628434
     4.66667           7  0.00434028  0.00989087  0.00176412
         4.8           7  0.00246528  0.00941964  0.00194431
     4.93333           7  0.00298611  0.00529762  0.00285075
     5.06667           7           0  0.00262897    0.002232
         5.2           7           0   0.0012004 0.000919516
     5.33333           7           0 0.000525794  0.00048679
     5.46667           7           0 2.97619e-05 2.75542e-05
         5.6           7           0           0           0
     5.73333           7           0           0           0
     5.86667           7           0           0           0
           6           7           0           0           0
     6.13333           7           0           0           0
     6.26667           7           0           0           0
         6.4           7           0           0           0
     6.53333           7           0           0           0
     6.66667           7           0           0           0
         6.8           7           0           0           0
     6.93333           7           0           0           0
     7.06667           7           0           0           0
         7.2           7           0           0           0
     7.33333           7           0           0           0
     7.46667           7           0           0           0
         7.6           7           0           0           0
     7.73333           7           0           0           0
     7.86667           7           0           0           0
           0           8  0.00243056  0.00483507 0.000927597
    0.133333           8   0.0311111   0.0299392   0.0102156
    0.266667           8   0.0518403   0.0517969  0.00861984
         0.4           8   0.0866667    0.078099   0.0105471
    0.533333           8    0.206458    0.119462   0.0176028
    0.666667           8    0.245764    0.188906   0.0189384
         0.8           8    0.305278    0.259293    0.016205
    0.933333           8    0.367569    0.388889   0.0301421
     1.06667           8    0.403472     0.35786   0.0280386
         1.2           8    0.447396    0.401793   0.0166912
     1.33333           8    0.550625    0.476133   0.0359733
     1.46667           8    0.470972    0.446037   0.0186325
         1.6           8    0.497535    0.475521   0.0248583
     1.73333           8    0.513056    0.515916   0.0228018
     1.86667           8     0.39125     0.49497   0.0384243
           2           8    0.392778    0.431506   0.0291104
     2.13333           8    0.404861     0.41783   0.0269277
     2.26667           8     0.43625    0.457261    0.010796
         2.4           8    0.325694    0.352005   0.0341638
     2.53333           8    0.233021     0.34957   0.0386943
     2.66667           8    0.167049    0.243485   0.0267859
         2.8           8    0.168715    0.199826   0.0192183
     2.93333           8    0.204097    0.182856   0.0257909
     3.06667           8    0.187882    0.121536   0.0185354
         3.2           8    0.160938    0.124987   0.0154327
     3.33333           8   0.0812153   0.0617795  0.00740787
     3.46667           8   0.0596181   0.0672005   0.0123164
         3.6           8   0.0238889   0.0594661   0.0119513
     3.73333           8   0.0362847   0.0320964  0.00613003
     3.86667           8   0.0305208   0.0201345  0.00538755
           4           8  0.00982639  0.00914931  0.00269075
     4.13333           8   0.0059375   0.0117361  0.00507634
     4.26667           8           0  0.00861979  0.00454757
         4.4           8           0   0.0137847  0.00624588
     4.53333           8           0   0.0203516  0.00613457
     4.66667           8           0  0.00865451  0.00192879
         4.8           8           0  0.00824219  0.00202668
     4.93333           8           0  0.00463542  0.00257017
     5.06667           8           0  0.00230035  0.00197704
         5.2           8           0  0.00105035 0.000816728
     5.33333           8           0 0.000460069 0.000430356
     5.46667           8           0 2.60417e-05 2.43597e-05
         5.6           8           0           0           0
     5.73333           8           0           0           0
     5.86667           8           0           0           0
           6           8           0           0           0
     6.13333           8           0           0           0
     6.26667           8           0           0           0
         6.4           8           0           0           0
     6.53333           8           0           0           0
     6.66667           8           0           0           0
         6.8           8           0           0           0
     6.93333           8           0           0           0
     7.06667           8           0           0           0
         7.2           8           0           0           0
     7.33333           8           0           0           0
     7.46667           8           0           0           0
         7.6           8           0           0           0
     7.73333           8           0           0           0
     7.86667           8           0           0           0
           0           9 0.000173611  0.00431713 0.000958282
    0.133333           9   0.0154167   0.0283256  0.00920708
    0.266667           9   0.0706597   0.0538927  0.00791278
         0.4           9    0.105556   0.0811497  0.00980648
    0.533333           9    0.190486    0.127353   0.0173258
    0.666667           9    0.281319    0.199174   0.0194193
         0.8           9    0.408646    0.275887   0.0212668
    0.933333           9    0.455417    0.396281   0.0276846
     1.06667           9    0.449097    0.367998    0.026693
         1.2           9    0.462222    0.408507   0.0161307
     1.33333           9    0.453229    0.473588   0.0320662
     1.46667           9      0.3725    0.437867   0.0182661
         1.6           9     0.36066    0.462758     0.02516
     1.73333           9    0.445694    0.508113   0.0215619
     1.86667           9     0.56434    0.502677   0.0349194
           2           9    0.543264    0.443924   0.0284011
     2.13333           9    0.354757    0.410822    0.024831
     2.26667           9    0.350556    0.445405   0.0147323
         2.4           9    0.196424    0.334718    0.034465
     2.53333           9    0.232812    0.336597   0.0365049
     2.66667           9    0.147396    0.232809   0.0258501
         2.8           9    0.210486    0.201011   0.0171194
     2.93333           9    0.208958    0.185756   0.0230878
     3.06667           9     0.16066    0.125883    0.016978
         3.2           9    0.126458     0.12515   0.0137188
     3.33333           9    0.152743   0.0718866   0.0115828
     3.46667           9   0.0387153   0.0640355   0.0113473
         3.6           9   0.0164931   0.0546914   0.0115378
     3.73333           9   0.0511111   0.0342091  0.00580159
     3.86667           9   0.0446181   0.0228549   0.0054325
           4           9   0.0224306    0.010625    0.002767
     4.13333           9  0.00225694   0.0106829  0.00462027
     4.26667           9  0.00111111  0.00778549   0.0041181
         4.4           9  0.00333333   0.0126235  0.00565882
     4.53333           9           0   0.0180903  0.00585491
