#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         292          -1   -0.981644  0.00278896
         293          -1   -0.981706  0.00278015
         294          -1   -0.981769  0.00277139
         295          -1   -0.981831  0.00276268
         296          -1   -0.981892  0.00275403
         297          -1   -0.981953  0.00274543
         298          -1   -0.982013  0.00273689
         299          -1   -0.982074   0.0027284
         300          -1   -0.982133  0.00271996
         301          -1   -0.982193  0.00271157
         302          -1   -0.982252  0.00270323
         303          -1    -0.98231  0.00269494
         304          -1   -0.982368  0.00268671
         305          -1   -0.982426  0.00267852
         306          -1   -0.982484  0.00267038
         307          -1   -0.982541  0.00266229
         308          -1   -0.982597  0.00265425
         309          -1   -0.982654  0.00264626
         310          -1    -0.98271  0.00263832
         311          -1   -0.982765  0.00263042
         312          -1   -0.982821  0.00262257
         313          -1   -0.982875  0.00261476
         314          -1    -0.98293    0.002607
         315          -1   -0.982984  0.00259929
         316          -1   -0.983038  0.00259162
         317          -1   -0.983091    0.002584
         318          -1   -0.983145  0.00257642
         319          -1   -0.983197  0.00256889
         320          -1    -0.98325  0.00256139
         321          -1   -0.983302  0.00255395
         322          -1   -0.983354  0.00254654
         323          -1   -0.983406  0.00253918
         324          -1   -0.983457  0.00253186
         325          -1   -0.983508  0.00252458
         326          -1   -0.983558  0.00251734
         327          -1   -0.983609  0.00251015
         328          -1   -0.983659  0.00250299
         329          -1   -0.983708  0.00249588
         330          -1   -0.983758   0.0024888
         331          -1   -0.983807  0.00248177
         332          -1   -0.983855  0.00247477
         333          -1   -0.983904  0.00246781
         334          -1   -0.983952  0.00246089
         335          -1      -0.984  0.00245401
         336          -1   -0.984048  0.00244717
         337          -1   -0.984095  0.00244037
         338          -1   -0.984142   0.0024336
         339          -1   -0.984189  0.00242687
         340          -1   -0.984235  0.00242018
         341          -1   -0.984282  0.00241353
         342          -1   -0.984327  0.00240691
         343          -1   -0.984373  0.00240032
         344          -1   -0.984419  0.00239377
         345          -1   -0.984464  0.00238726
         346          -1   -0.984509  0.00238078
         347          -1   -0.984553  0.00237434
         348          -1   -0.984598  0.00236793
         349          -1   -0.984642  0.00236156
         350          -1   -0.984686  0.00235522
         351          -1   -0.984729  0.00234891
         352          -1   -0.984773  0.00234264
         353          -1   -0.984816   0.0023364
         354          -1   -0.984859   0.0023302
         355          -1   -0.984901  0.00232402
         356          -1   -0.984944  0.00231788
         357          -1   -0.984986  0.00231177
         358          -1   -0.985028   0.0023057
         359          -1    -0.98507  0.00229965
         360          -1   -0.985111  0.00229364
         361          -1   -0.985152  0.00228765
         362          -1   -0.985193   0.0022817
         363          -1   -0.985234  0.00227578
         364          -1   -0.985275  0.00226989
         365          -1   -0.985315  0.00226403
         366          -1   -0.985355   0.0022582
         367          -1   -0.985395   0.0022524
         368          -1   -0.985435  0.00224663
         369          -1   -0.985474  0.00224089
         370          -1   -0.985514  0.00223517
         371          -1   -0.985553  0.00222949
         372          -1   -0.985591  0.00222383
         373          -1    -0.98563  0.00221821
         374          -1   -0.985668  0.00221261
         375          -1   -0.985707  0.00220704
         376          -1   -0.985745   0.0022015
         377          -1   -0.985782  0.00219598
         378          -1    -0.98582  0.00219049
