#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
          29    0.351897    0.350737 0.000294608
          30    0.350701    0.350736  0.00028479
          31    0.352304    0.350787 0.000280061
          32    0.348885    0.350727 0.000277542
          33    0.350917    0.350733 0.000269191
          34    0.348603     0.35067 0.000268463
          35    0.353141    0.350741 0.000269912
          36    0.351126    0.350752 0.000262627
          37    0.349744    0.350724 0.000256938
          38    0.350493    0.350718 0.000250249
          39    0.350017      0.3507 0.000244477
          40    0.350893    0.350705 0.000238412
          41    0.354463    0.350797 0.000249595
          42    0.350006    0.350778  0.00024436
          43    0.351542    0.350796 0.000239322
          44     0.34809    0.350734 0.000241651
          45    0.351455     0.35075 0.000236812
          46    0.347787    0.350686 0.000240263
          47    0.352212    0.350718 0.000237335
          48    0.351586    0.350736 0.000233078
          49    0.352348    0.350769  0.00023063
          50     0.35564    0.350867 0.000245732
           1    0.312168    0.312168           0
           2    0.310186    0.311177 0.000700988
           3    0.312334    0.311563 0.000563453
           4    0.311278    0.311491 0.000427069
           5    0.310941    0.311381 0.000355541
           6    0.310663    0.311262 0.000315794
           7    0.312477    0.311435 0.000314789
           8    0.311274    0.311415 0.000276082
           9    0.311946    0.311474 0.000251637
          10     0.31222    0.311549  0.00023727
          11    0.313078    0.311688 0.000253151
          12    0.312012    0.311715 0.000233496
          13    0.311559    0.311703 0.000215844
          14    0.313317    0.311818  0.00022917
          15    0.311699     0.31181 0.000214029
          16    0.312179    0.311833  0.00020189
          17    0.311662    0.311823 0.000190264
          18     0.31107    0.311781 0.000184237
          19    0.313007    0.311846  0.00018549
          20    0.311024    0.311805 0.000180707
          21    0.311811    0.311805 0.000172102
          22    0.313669     0.31189  0.00018396
          23     0.31273    0.311926 0.000179553
          24     0.31115    0.311894 0.000174958
          25    0.311925    0.311895 0.000167964
          26    0.310563    0.311844 0.000169144
          27    0.311751    0.311841 0.000162914
          28    0.312287    0.311856 0.000157873
          29    0.311952     0.31186 0.000152463
          30    0.310966     0.31183 0.000150267
          31    0.311507     0.31182  0.00014578
          32    0.310339    0.311773 0.000148389
          33    0.312572    0.311797 0.000145853
          34    0.312005    0.311804  0.00014169
          35    0.312324    0.311818  0.00013842
          36    0.312762    0.311845 0.000137035
          37    0.312833    0.311871 0.000135908
          38    0.311352    0.311858 0.000133016
          39    0.312246    0.311868 0.000129978
          40     0.31347    0.311908 0.000132758
          41    0.310179    0.311866 0.000136054
          42    0.311454    0.311856 0.000133167
          43    0.312246    0.311865 0.000130379
          44     0.31047    0.311833 0.000131214
          45    0.313437    0.311869 0.000133053
          46    0.312835     0.31189 0.000131809
          47    0.313759     0.31193 0.000134874
          48    0.313447    0.311961 0.000135716
          49    0.310785    0.311937 0.000135053
          50    0.312639    0.311951 0.000133079
           1    0.276818    0.276818           0
           2    0.275324    0.276071 0.000528365
           3     0.27586    0.276001 0.000356882
           4    0.275195    0.275799 0.000319512
           5    0.276368    0.275913 0.000275078
           6    0.274818    0.275731 0.000283354
           7     0.27798    0.276052 0.000384036
           8    0.275704    0.276008 0.000338488
           9    0.277067    0.276126  0.00032067
          10    0.275308    0.276044 0.000298844
          11    0.276289    0.276066 0.000272501
          12    0.278122    0.276238  0.00029882
          13    0.278516    0.276413 0.000323174
          14    0.276737    0.276436 0.000300919
          15    0.275914    0.276401 0.000282867
          16    0.274869    0.276306 0.000280936
          17    0.275519    0.276259  0.00026819
          18    0.276402    0.276267 0.000253407
          19    0.275372     0.27622 0.000244407
          20     0.27612    0.276215 0.000232238
          21    0.274638     0.27614 0.000233011
          22       0.277    0.276179 0.000225675
          23    0.275843    0.276165 0.000216336
          24     0.27729    0.276211 0.000212343
          25    0.275936      0.2762 0.000204135
          26     0.27607    0.276195 0.000196345
          27    0.276145    0.276193 0.000189082
          28    0.276007    0.276187 0.000182446
          29    0.277056    0.276217 0.000178599
          30    0.276663    0.276232 0.000173263
          31    0.276041    0.276226 0.000167783
          32    0.275885    0.276215 0.000162876
          33    0.274858    0.276174 0.000163051
          34    0.275362     0.27615 0.000159995
          35    0.276124    0.276149 0.000155425
          36    0.275573    0.276133 0.000151929
          37    0.276308    0.276138 0.000147897
          38    0.276597     0.27615 0.000144497
          39    0.277226    0.276178 0.000143401
          40    0.276063    0.276175 0.000139845
          41    0.275166     0.27615 0.000138582
          42    0.276209    0.276151  0.00013529
          43    0.277731    0.276188 0.000137043
          44    0.276529    0.276196 0.000134147
          45    0.276674    0.276207 0.000131587
          46    0.274287    0.276165 0.000135181
          47    0.277284    0.276189 0.000134387
          48    0.275948    0.276184 0.000131681
          49    0.276784    0.276196 0.000129562
          50    0.275692    0.276186 0.000127362
           1    0.244401    0.244401           0
           2    0.244625    0.244513 7.92351e-05
           3    0.244474      0.2445  5.3878e-05
           4    0.244368    0.244467 4.95286e-05
           5    0.245254    0.244624  0.00014626
           6    0.243748    0.244478 0.000180585
           7    0.244032    0.244414 0.000165643
