#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          35     0.05332   0.0560886  0.00190299
          36     0.05186   0.0559711  0.00185375
          37    0.060492   0.0560933  0.00180767
          38    0.066284   0.0563615  0.00177988
          39    0.075076   0.0568413  0.00179777
          40    0.055084   0.0567974  0.00175336
          41    0.046104   0.0565366  0.00172989
          42     0.07008    0.056859  0.00171849
          43    0.052124   0.0567489  0.00168205
          44     0.04466   0.0564742  0.00166611
          45    0.046168   0.0562452  0.00164475
          46    0.036336   0.0558123  0.00166497
          47    0.041736   0.0555129  0.00165626
          48    0.052664   0.0554535  0.00162282
          49    0.045584   0.0552521  0.00160215
          50    0.042268   0.0549924  0.00159101
           1    0.062108    0.062108           0
           2    0.047972     0.05504  0.00499783
           3    0.062576    0.057552  0.00391257
           4     0.05264    0.056324   0.0031212
           5     0.04156   0.0533712  0.00363456
           6    0.020704   0.0479267  0.00582032
           7     0.05456   0.0488743   0.0050654
           8    0.037968    0.047511  0.00461203
           9    0.025144   0.0450258  0.00472193
          10    0.051372   0.0456604  0.00429217
          11    0.049864   0.0460425  0.00391895
          12    0.060448    0.047243  0.00377175
          13    0.016816   0.0449025  0.00414468
          14    0.050336   0.0452906  0.00386676
          15    0.045128   0.0452797  0.00360899
          16    0.049852   0.0455655  0.00339473
          17    0.031564   0.0447419  0.00329343
          18    0.052972   0.0451991  0.00314204
          19    0.066372   0.0463135  0.00316813
          20     0.03192   0.0455938  0.00309038
          21    0.054612   0.0460232  0.00297291
          22    0.042292   0.0458536  0.00284261
          23    0.050748   0.0460664  0.00272697
          24    0.054824   0.0464313  0.00263765
          25    0.049484   0.0465534  0.00253497
          26    0.044676   0.0464812   0.0024385
          27    0.058128   0.0469126  0.00238603
          28    0.053848   0.0471603  0.00231363
          29    0.052816   0.0473553  0.00224206
          30    0.058764   0.0477356  0.00219934
          31    0.047044   0.0477133  0.00212851
          32    0.070384   0.0484217   0.0021767
          33    0.050876   0.0484961  0.00211201
          34    0.047516   0.0484673  0.00205009
          35    0.041868   0.0482787  0.00200017
          36    0.068928   0.0488523  0.00202518
          37    0.038596   0.0485751  0.00198933
          38    0.042604    0.048418  0.00194317
          39    0.035292   0.0480814  0.00192228
          40    0.036884   0.0478015  0.00189449
          41     0.03408   0.0474668  0.00187761
          42    0.051932   0.0475731  0.00183591
          43    0.063196   0.0479365  0.00182882
          44     0.05082    0.048002  0.00178843
          45     0.04174   0.0478628  0.00175409
          46    0.057956   0.0480823  0.00172963
          47     0.04382   0.0479916   0.0016952
