#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          25     2.78256     2.97551   0.0180313
          26     2.94067     2.97417   0.0173875
          27     3.01841     2.97581   0.0168206
          28     2.95875      2.9752   0.0162309
          29     2.91897     2.97326   0.0157866
          30     2.85861     2.96944   0.0157161
          31      2.8806     2.96657   0.0154682
          32     2.90226     2.96456   0.0151148
          33      3.0254      2.9664   0.0147688
          34     2.98015     2.96681     0.01434
          35     2.97123     2.96694   0.0139308
          36     2.87473     2.96437   0.0137773
          37     2.99422     2.96518   0.0134285
          38     3.11519     2.96913   0.0136431
          39     3.10073      2.9725   0.0137042
          40     2.76568     2.96733   0.0143038
          41     2.94031     2.96667   0.0139701
          42     2.96573     2.96665   0.0136375
          43     2.80381     2.96286   0.0138362
          44      2.9095     2.96165   0.0135748
          45     2.93965     2.96116   0.0132819
          46     3.05944      2.9633   0.0131639
          47     2.95437     2.96311   0.0128852
          48     3.01573      2.9642   0.0126633
          49     2.84047     2.96168   0.0126541
          50     2.86296     2.95971   0.0125541
           1     2.40241     2.40241           0
           2     2.36551     2.38396   0.0130473
           3     2.38383     2.38392  0.00869824
           4     2.46988     2.40541   0.0197218
           5      2.3437     2.39307   0.0192554
           6     2.39343     2.39313   0.0160463
           7     2.29698     2.37939   0.0187321
           8     2.34208     2.37473   0.0169613
           9     2.26046     2.36203   0.0192508
          10     2.33974      2.3598   0.0174543
          11     2.37073     2.36079   0.0158958
          12     2.33072     2.35829   0.0147674
          13     2.33533     2.35652   0.0137366
          14     2.35852     2.35667   0.0127561
          15     2.36133     2.35698   0.0119095
          16     2.42691     2.36135   0.0119403
          17     2.36135     2.36135    0.011238
          18     2.49559     2.36881   0.0128521
          19     2.35735      2.3682   0.0121899
          20      2.3732     2.36845   0.0115829
          21     2.37022     2.36854   0.0110317
          22     2.36561      2.3684    0.010531
          23     2.25585     2.36351   0.0111524
          24     2.19106     2.35632   0.0127948
          25     2.49657     2.36193   0.0134567
          26     2.36104      2.3619   0.0129392
          27     2.32797     2.36064   0.0125208
          28      2.4253     2.36295   0.0122847
          29     2.27719     2.35999   0.0122119
          30     2.42157     2.36205   0.0119761
          31     2.31251     2.36045   0.0116959
          32     2.34934      2.3601   0.0113355
          33     2.54806      2.3658   0.0123403
          34     2.31534     2.36431   0.0120663
          35     2.32183      2.3631   0.0117824
          36     2.35315     2.36282   0.0114583
          37     2.43357     2.36474   0.0113071
          38     2.27631     2.36241   0.0112464
          39     2.30675     2.36098   0.0110482
          40     2.34311     2.36053    0.010781
          41     2.47978     2.36344   0.0109033
          42     2.39089      2.3641   0.0106633
          43     2.22795     2.36093   0.0108752
          44     2.29297     2.35939   0.0107372
          45     2.34833     2.35914   0.0105014
          46     2.39303     2.35988   0.0102989
          47     2.39709     2.36067   0.0101102
          48     2.39998     2.36149  0.00993269
          49     2.35055     2.36126  0.00973248
          50     2.34505     2.36094  0.00954323
           1     1.84177     1.84177           0
           2     1.91028     1.87602   0.0242213
           3     1.89528     1.88244   0.0169768
           4     1.91406     1.89035   0.0144562
           5     1.88476     1.88923   0.0116081
           6     1.90969     1.89264   0.0101622
           7     1.90144      1.8939  0.00878794
           8     1.89353     1.89385  0.00768956
           9      1.8537     1.88939   0.0080255
          10     1.88116     1.88857  0.00726507
          11      1.9347     1.89276  0.00772059
          12     1.94823     1.89738  0.00834704
          13     1.90688     1.89811  0.00773683
          14     1.91841     1.89956  0.00731881
          15     1.96864     1.90417  0.00815176
          16     1.86781      1.9019  0.00795276
          17     1.80958     1.89647  0.00915303
          18     1.77358     1.88964   0.0108972
          19     1.94402      1.8925    0.010693
          20     1.93534     1.89464   0.0103706
          21     1.94978     1.89727   0.0102037
          22     1.87947     1.89646  0.00977193
          23     1.95131     1.89884  0.00963366
          24     1.91403     1.89948  0.00925301
          25     1.91875     1.90025  0.00891494
          26     1.94717     1.90205  0.00875283
          27     1.85333     1.90025  0.00861268
          28     1.86005     1.89881  0.00842391
          29     1.83429     1.89659   0.0084221
          30     1.92018     1.89737  0.00817801
          31      1.9496     1.89906  0.00808591
          32     1.80727     1.89619   0.0083265
          33     1.90312      1.8964  0.00807683
          34     2.02422     1.90016  0.00867018
